Codigo,Pais,T_Ini,T_Fin,Dif_T,Freq_B,Freq_A,T_Max,Ener,Max_Ent,Max_Freq,Max_poder,Min_Entropia,Frecuenca_pico
C1,Colombia,1.659,2.71,1.051,886.4,5250,1.765,113.4,4.361,3093.8,96,1.606,3093.8
C2,Colombia,3.519,4.875,1.356,1227.3,5659.1,4.475,111.9,4.098,2906.2,96.8,1.514,2906.2
C3,Colombia,5.34,7.12,1.78,1090.9,5522.7,5.6,111.9,4.855,1500,95.5,1.535,1500
C4,Colombia,7.828,9.588,1.76,1090.9,5181.8,9.349,113.3,4.084,2906.2,96.1,1.622,2906.2
C5,Colombia,10.376,12.156,1.78,1090.9,5522.7,11.867,114.9,4.684,2906.2,97.9,772,2906.2
C6,Colombia,13.107,15.676,2.569,1022.7,5250,14.032,116.8,4.748,2812.5,96.3,1.564,2812.5
C7,Colombia,16.465,18.225,1.76,954.5,5250,17.275,116.9,4.43,2906.2,100.3,1.535,2906.2
C8,Colombia,19.114,20.773,1.659,1022.7,5250,19.909,114.3,4.463,2906.2,96.6,1.394,2906.2
C9,Colombia,21.42,22.654,1.234,954.5,5386.4,21.547,112.2,4.126,3375,94.8,1.651,3375
C10,Colombia,23.443,25.061,1.618,818.2,5386.4,24.304,112.8,4.711,2906.2,95.1,1.552,2906.2
C11,Colombia,25.789,26.376,0.587,1090.9,5522.7,25.941,107.5,4.569,1500,94.1,1.852,1500
C12,Colombia,1.068,2.399,1.331,520.9,8941.5,1.852,116,5.281,3014.6,104.5,1.742,3014.6
C13,Colombia,2.509,3.798,1.289,1041.7,6163.6,2.601,106.2,4.951,2842.4,92.1,1.689,2842.4
C14,Colombia,3.977,4.618,0.641,868.1,8247,4.052,108.4,4.842,3014.6,96,1.77,3014.6
C15,Colombia,4.667,5.287,0.62,781.3,7292.1,4.748,106.3,4.831,2842.4,95.4,1.618,2842.4
C16,Colombia,5.418,7.383,1.965,1041.7,7293.5,5.486,112,5.55,3014.6,100,1.405,3014.6
C17,Colombia,5.411,5.459,0.048,3732.9,3732.9,5.433,62.3,0,3703.7,61.6,0,3703.7
C18,Colombia,8.694,10.024,1.33,339.2,9328.8,8.766,111.4,5.034,3273,99.3,1.527,3273
C19,Colombia,10.41,11.809,1.399,678.5,10007.3,10.466,112,5.183,3273,98.5,1.586,3273
C20,Colombia,12.216,13.436,1.22,1017.7,9328.8,12.272,111.4,5.149,3186.9,97.3,1.497,3186.9
C21,Colombia,13.829,14.973,1.144,678.5,9328.8,13.886,109,5.006,3186.9,97.4,1.727,3186.9
C22,Colombia,15.13,16.247,1.117,1187.3,9668.1,15.842,107.4,5.358,1378.1,93.2,1.638,1378.1
C23,Colombia,16.323,17.598,1.275,848.1,8311.2,17.107,111.9,5.295,2842.4,97.1,1.519,2842.4
C24,Colombia,17.681,18.908,1.227,848.1,7632.7,17.711,109.9,4.778,2842.4,95.5,1.368,2842.4
C25,Colombia,19.022,20.197,1.175,678.5,7632.7,19.046,105.6,5.172,2928.5,94.2,1.46,2928.5
C26,Colombia,20.88,22.727,1.847,848.1,9498.5,20.956,112.3,5.165,3186.9,98.1,1.494,3186.9
C27,Colombia,22.916,24.193,1.277,0,9159.2,23.597,110.4,4.799,2928.5,96.1,1.598,2928.5
C28,Colombia,24.291,26.23,1.939,339.2,9498.5,24.387,111.1,5.295,2928.5,96.4,1.623,2928.5
C29,Colombia,26.48,27.81,1.33,848.1,8141.5,26.546,110.6,5.076,3100.8,96.2,1.465,3100.8
C30,Colombia,28.432,29.685,1.253,508.8,10176.9,28.497,107.5,5.024,3100.8,97,1.394,3100.8
C31,Colombia,29.987,31.147,1.16,678.5,8311.2,30.11,106,4.933,1378.1,93,1.688,1378.1
C32,Colombia,2.726,4.25,1.524,694.5,5035,2.891,115.6,5.101,2842.4,104.2,1.804,2842.4
C33,Colombia,4.385,5.618,1.233,864.7,4972.1,4.528,108.6,4.914,2756.2,95.6,1.783,2756.2
C34,Colombia,6.116,8.147,2.031,756.6,5728.7,6.734,109.4,5.267,2842.4,93.9,1.792,2842.4
C35,Colombia,8.515,9.92,1.405,756.6,5674.6,8.638,109.7,5.086,2842.4,95.8,1.66,2842.4
C36,Colombia,10.562,12.08,1.518,756.6,5404.4,10.71,111.6,5.146,2842.4,99.4,1.566,2842.4
C37,Colombia,12.197,13.739,1.542,810.7,5728.7,12.295,109,5.035,3186.9,94.8,1.803,3186.9
C38,Colombia,14.547,15.874,1.327,864.7,6377.2,14.698,106,5.014,2756.2,93.8,1.775,2756.2
C39,Colombia,18.133,19.47,1.337,972.8,6107,18.204,107.4,5.212,3014.6,95.3,1.772,3014.6
C40,Colombia,19.729,21.18,1.451,648.5,6161,19.83,109.3,5.143,3100.8,96.8,1.781,3100.8
C41,Colombia,21.439,22.89,1.451,864.7,6161,21.496,111.5,5.171,3100.8,99.7,1.701,3100.8
C42,Colombia,23.243,24.684,1.441,864.7,6161,23.359,108.5,5.328,1464.3,91.8,1.819,1464.3
C43,Colombia,25.529,26.938,1.409,864.7,6917.6,25.67,110.5,5.368,2928.5,99.7,1.481,2928.5
C44,Colombia,27.115,29.654,2.539,972.8,6485.3,27.185,111.9,5.499,3100.8,96.5,1.608,3100.8
C45,Colombia,29.934,31.385,1.451,864.7,6161,30.023,109,5.166,3186.9,94.9,1.783,3186.9
C46,Colombia,31.849,33.238,1.389,864.7,7025.7,31.974,110.8,5.493,1550.4,96.5,1.779,1550.4
C47,Colombia,33.425,35.052,1.627,864.7,6593.4,34.47,110.7,5.532,1464.3,94.7,1.788,1464.3
C48,Colombia,35.86,37.467,1.607,1080.9,5728.7,35.997,110.9,5.205,2842.4,98.1,1.694,2842.4
